k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
2866,3,2,matrix,50.00000000001557,14.746390137169588,85.25360986286154,0,2,93.03589967408324,2.179116666666647,69.02896222771325
2868,4,1,aggregate,21.90311216584489,21.90311216584489,21.90311216584489,0,1,27.264879767518384,0.7643666666575599,-186.43767549734176
2868,4,1,matrix,21.903143020600275,21.903143020600275,21.903143020600275,0,1,27.26487976715868,0.7643666666666667,-186.43756233786755
2914,3,2,aggregate,43.15281835050515,11.481632983238294,74.82400371777202,0,2,69.63677427239604,2.437923931623949,-6.5814036601181085
2914,3,2,matrix,48.59282765414344,1.4090474666661714e-10,97.18565530814595,1,2,69.63676790602861,2.437923931623933,64.45499982877162
2935,1,4,aggregate,79.22163639461782,69.25628562582348,89.15812100690552,0,4,98.99249403963354,0.952003428387305,76.75911989577465
2935,1,4,matrix,75.23443915088366,9.277839273320462,100.0,2,4,99.03948954910176,0.9520034283872768,97.19232578579374
2962,4,1,aggregate,18.527218299718417,18.527218299718417,18.527218299718417,0,1,79.54918891224317,4.907166666666667,-2.418117411807329
2962,4,1,matrix,18.52721789425281,18.52721789425281,18.52721789425281,0,1,79.54918891224428,4.907166666666664,-2.4181179215101203
3008,4,1,aggregate,19.177339990002444,19.177339990002444,19.177339990002444,0,1,79.51240922992748,0.4772,-1.647856973219352
3008,4,1,matrix,19.17734982401412,19.17734982401412,19.17734982401412,0,1,79.51240922989462,0.4772000000000017,-1.6478446053662243
3016,3,2,aggregate,24.78063430424284,21.976587923065107,27.584680685420565,0,2,65.62734487300753,1.880733333333296,-15.080855575674391
3016,3,2,matrix,24.226828801009177,21.10940460990805,27.344252992110302,0,2,65.62734547265045,1.8807333333333347,-14.942825583221252
3104,2,3,aggregate,68.77989309064758,41.101564796419936,86.95879576460099,0,3,95.03372849091753,4.077726650258614,63.21323927336816
3104,2,3,matrix,65.94298460778153,0.0365893533501139,99.9999999998599,2,3,99.99996142306809,4.07772665025859,99.63266974397588
3136,2,3,aggregate,63.07626929935829,56.761859861474825,66.23350566906468,0,3,90.46649263476668,0.1367230916293775,62.743537286278624
3136,2,3,matrix,63.07625495080151,56.76211794424499,66.23375390231054,0,3,90.46663887958852,0.1367230916293775,62.74343588401592
3203,3,2,aggregate,37.102305507472536,1.952434912838892,72.25217610210618,0,2,99.99999908044276,5.08179999999997,19.9495406204712
3203,3,2,matrix,31.658636151238767,1.9693271010133328e-10,63.3172723022806,1,2,100.00000117204964,5.081800000000031,47.107723378255365
3278,4,1,aggregate,4.090634228531376,4.090634228531376,4.090634228531376,0,1,80.34253168603443,0.0428816091954022,-19.37558321695272
3278,4,1,matrix,4.090057152591285,4.090057152591285,4.090057152591285,0,1,80.34253168604516,0.0428816091954022,-19.376301486485723
